,current_party,district,dw_nominate,end_date,first_name,in_office,last_name,member_id,middle_name,name,party,start_date,state
L000560,D,2,-0.364,2021-01-03,Rick,True,Larsen,L000560,,Rick Larsen,D,2001-01-03,WA
L000557,D,1,-0.398,2021-01-03,John,True,Larson,L000557,B.,John B. Larson,D,1999-01-06,CT
L000566,R,5,0.519,2021-01-03,Robert,True,Latta,L000566,E.,Robert E. Latta,R,2007-12-11,OH
L000581,D,14,-0.444,2021-01-03,Brenda,True,Lawrence,L000581,,Brenda Lawrence,D,2015-01-06,MI
L000586,D,5,-0.255,2021-01-03,Al,True,Lawson,L000586,,Al Lawson,D,2017-01-03,FL
L000551,D,13,-0.683,2021-01-03,Barbara,True,Lee,L000551,,Barbara Lee,D,1997-01-07,CA
L000590,D,3,,2021-01-03,Susie,True,Lee,L000590,,Susie Lee,D,2019-01-03,NV
L000589,R,8,0.643,2021-01-03,Debbie,True,Lesko,L000589,,Debbie Lesko,R,2018-05-07,AZ
L000593,D,49,,2021-01-03,Mike,True,Levin,L000593,,Mike Levin,D,2019-01-03,CA
L000592,D,9,,2021-01-03,Andy,True,Levin,L000592,,Andy Levin,D,2019-01-03,MI
L000287,D,5,-0.59,2021-01-03,John,True,Lewis,L000287,,John Lewis,D,1987-01-06,GA
L000582,D,33,-0.362,2021-01-03,Ted,True,Lieu,L000582,,Ted Lieu,D,2015-01-06,CA
L000563,D,3,-0.232,2021-01-03,Daniel,True,Lipinski,L000563,,Daniel Lipinski,D,2005-01-04,IL
L000565,D,2,-0.276,2021-01-03,Dave,True,Loebsack,L000565,,Dave Loebsack,D,2007-01-04,IA
L000397,D,19,-0.402,2021-01-03,Zoe,True,Lofgren,L000397,,Zoe Lofgren,D,1995-01-04,CA
L000576,R,7,0.545,2021-01-03,Billy,True,Long,L000576,,Billy Long,R,2011-01-04,MO
L000583,R,11,0.667,2021-01-03,Barry,True,Loudermilk,L000583,,Barry Loudermilk,R,2015-01-06,GA
L000579,D,47,-0.45,2021-01-03,Alan,True,Lowenthal,L000579,,Alan Lowenthal,D,2013-01-03,CA
L000480,D,17,-0.389,2021-01-03,Nita,True,Lowey,L000480,M.,Nita M. Lowey,D,1989-01-03,NY
L000491,R,3,0.364,2021-01-03,Frank,True,Lucas,L000491,D.,Frank D. Lucas,R,1993-01-05,OK
L000569,R,3,0.446,2021-01-03,Blaine,True,Luetkemeyer,L000569,,Blaine Luetkemeyer,R,2009-01-06,MO
L000570,D,3,-0.368,2021-01-03,Ben,True,Luján,L000570,Ray,Ben Ray Luján,D,2009-01-06,NM
L000591,D,2,,2021-01-03,Elaine,True,Luria,L000591,,Elaine Luria,D,2019-01-03,VA
L000562,D,8,-0.351,2021-01-03,Stephen,True,Lynch,L000562,F.,Stephen F. Lynch,D,2001-01-03,MA
M001203,D,7,,2021-01-03,Tom,True,Malinowski,M001203,,Tom Malinowski,D,2019-01-03,NJ
M000087,D,12,-0.387,2021-01-03,Carolyn,True,Maloney,M000087,B.,Carolyn B. Maloney,D,1993-01-05,NY
M001185,D,18,-0.237,2021-01-03,Sean,True,Maloney,M001185,Patrick,Sean Patrick Maloney,D,2013-01-03,NY
M001158,R,24,0.599,2021-01-03,Kenny,True,Marchant,M001158,,Kenny Marchant,R,2005-01-04,TX
M001179,R,12,0.352,2019-01-23,Tom,False,Marino,M001179,,Tom Marino,R,2011-01-04,PA
M001198,R,1,0.489,2021-01-03,Roger,True,Marshall,M001198,,Roger Marshall,R,2017-01-03,KS
M001184,R,4,0.669,2021-01-03,Thomas,True,Massie,M001184,,Thomas Massie,R,2012-11-13,KY
M001199,R,18,0.369,2021-01-03,Brian,True,Mast,M001199,,Brian Mast,R,2017-01-03,FL
M001163,D,6,-0.434,2021-01-03,Doris,True,Matsui,M001163,,Doris Matsui,D,2005-03-08,CA
M001209,D,4,,2021-01-03,Ben,True,McAdams,M001209,,Ben McAdams,D,2019-01-03,UT
M001208,D,6,,2021-01-03,Lucy,True,McBath,M001208,,Lucy McBath,D,2019-01-03,GA
M001165,R,23,0.463,2021-01-03,Kevin,True,McCarthy,M001165,,Kevin McCarthy,R,2007-01-04,CA
M001157,R,10,0.447,2021-01-03,Michael,True,McCaul,M001157,,Michael McCaul,R,2005-01-04,TX
M001177,R,4,0.743,2021-01-03,Tom,True,McClintock,M001177,,Tom McClintock,R,2009-01-06,CA
M001143,D,4,-0.417,2021-01-03,Betty,True,McCollum,M001143,,Betty McCollum,D,2001-01-03,MN
M001200,D,4,-0.394,2021-01-03,A.,True,McEachin,M001200,Donald,A. Donald McEachin,D,2017-01-03,VA
M000312,D,2,-0.539,2021-01-03,Jim,True,McGovern,M000312,,Jim McGovern,D,1997-01-07,MA
M001156,R,10,0.572,2021-01-03,Patrick,True,McHenry,M001156,T.,Patrick T. McHenry,R,2005-01-04,NC
M001180,R,1,0.293,2021-01-03,David,True,McKinley,M001180,,David McKinley,R,2011-01-04,WV
M001159,R,5,0.429,2021-01-03,Cathy,True,McMorris Rodgers,M001159,,Cathy McMorris Rodgers,R,2005-01-04,WA
M001166,D,9,-0.26,2021-01-03,Jerry,True,McNerney,M001166,,Jerry McNerney,D,2007-01-04,CA
M001187,R,11,0.624,2021-01-03,Mark,True,Meadows,M001187,,Mark Meadows,R,2013-01-03,NC
M001137,D,5,-0.413,2021-01-03,Gregory,True,Meeks,M001137,W.,Gregory W. Meeks,D,1997-01-07,NY
M001188,D,6,-0.378,2021-01-03,Grace,True,Meng,M001188,,Grace Meng,D,2013-01-03,NY
M001204,R,9,,2021-01-03,Daniel,True,Meuser,M001204,,Daniel Meuser,R,2019-01-03,PA
M001205,R,3,,2021-01-03,Carol,True,Miller,M001205,,Carol Miller,R,2019-01-03,WV
M001201,R,10,0.449,2021-01-03,Paul,True,Mitchell,M001201,,Paul Mitchell,R,2017-01-03,MI
M001194,R,4,0.397,2021-01-03,John,True,Moolenaar,M001194,,John Moolenaar,R,2015-01-06,MI
M001195,R,2,0.579,2021-01-03,Alex,True,Mooney,M001195,,Alex Mooney,R,2015-01-06,WV
M001160,D,4,-0.53,2021-01-03,Gwen,True,Moore,M001160,,Gwen Moore,D,2005-01-04,WI
M001206,D,25,,2021-01-03,Joe,True,Morelle,M001206,,Joe Morelle,D,2018-11-13,NY
M001196,D,6,-0.295,2021-01-03,Seth,True,Moulton,M001196,,Seth Moulton,D,2015-01-06,MA
M001207,D,26,,2021-01-03,Debbie,True,Mucarsel-Powell,M001207,,Debbie Mucarsel-Powell,D,2019-01-03,FL
M001190,R,2,0.503,2021-01-03,Markwayne,True,Mullin,M001190,,Markwayne Mullin,R,2013-01-03,OK
M001202,D,7,-0.156,2021-01-03,Stephanie,True,Murphy,M001202,,Stephanie Murphy,D,2017-01-03,FL
N000002,D,10,-0.509,2021-01-03,Jerrold,True,Nadler,N000002,,Jerrold Nadler,D,1993-01-05,NY
N000179,D,32,-0.448,2021-01-03,Grace,True,Napolitano,N000179,F.,Grace F. Napolitano,D,1999-01-06,CA
N000015,D,1,-0.417,2021-01-03,Richard,True,Neal,N000015,E.,Richard E. Neal,D,1989-01-03,MA
N000191,D,2,,2021-01-03,Joe,True,Neguse,N000191,,Joe Neguse,D,2019-01-03,CO
N000189,R,4,0.362,2021-01-03,Dan,True,Newhouse,N000189,,Dan Newhouse,R,2015-01-06,WA
N000188,D,1,-0.425,2021-01-03,Donald,True,Norcross,N000188,W.,Donald W. Norcross,D,2014-11-12,NJ
N000190,R,5,0.74,2021-01-03,Ralph,True,Norman,N000190,,Ralph Norman,R,2017-06-26,SC
N000181,R,22,0.448,2021-01-03,Devin,True,Nunes,N000181,,Devin Nunes,R,2003-01-07,CA
O000171,D,1,-0.173,2021-01-03,Tom,True,O'Halleran,O000171,,Tom O'Halleran,D,2017-01-03,AZ
O000172,D,14,,2021-01-03,Alexandria,True,Ocasio-Cortez,O000172,,Alexandria Ocasio-Cortez,D,2019-01-03,NY
O000168,R,22,0.541,2021-01-03,Pete,True,Olson,O000168,,Pete Olson,R,2009-01-06,TX
O000173,D,5,,2021-01-03,Ilhan,True,Omar,O000173,,Ilhan Omar,D,2019-01-03,MN
P000601,R,4,0.496,2021-01-03,Steven,True,Palazzo,P000601,,Steven Palazzo,R,2011-01-04,MS
P000034,D,6,-0.404,2021-01-03,Frank,True,Pallone,P000034,,Frank Pallone,D,1989-01-03,NJ
P000609,R,6,0.756,2021-01-03,Gary,True,Palmer,P000609,,Gary Palmer,R,2015-01-06,AL
P000613,D,20,-0.31,2021-01-03,Jimmy,True,Panetta,P000613,,Jimmy Panetta,D,2017-01-03,CA
P000614,D,1,,2021-01-03,Chris,True,Pappas,P000614,,Chris Pappas,D,2019-01-03,NH
P000096,D,9,-0.367,2021-01-03,Bill,True,Pascrell,P000096,,Bill Pascrell Jr.,D,1997-01-07,NJ
P000604,D,10,-0.518,2021-01-03,Donald,True,Payne,P000604,M.,Donald M. Payne Jr.,D,2012-11-15,NJ
P000197,D,12,-0.49,2021-01-03,Nancy,True,Pelosi,P000197,,Nancy Pelosi,D,1987-01-06,CA
P000615,R,6,,2021-01-03,Greg,True,Pence,P000615,,Greg Pence,R,2019-01-03,IN
P000593,D,7,-0.282,2021-01-03,Ed,True,Perlmutter,P000593,,Ed Perlmutter,D,2007-01-04,CO
P000605,R,10,0.659,2021-01-03,Scott,True,Perry,P000605,,Scott Perry,R,2013-01-03,PA
P000608,D,52,-0.177,2021-01-03,Scott,True,Peters,P000608,,Scott Peters,D,2013-01-03,CA
P000258,D,7,-0.148,2021-01-03,Collin,True,Peterson,P000258,C.,Collin C. Peterson,D,1991-01-03,MN
P000616,D,3,,2021-01-03,Dean,True,Phillips,P000616,,Dean Phillips,D,2019-01-03,MN
P000597,D,1,-0.421,2021-01-03,Chellie,True,Pingree,P000597,,Chellie Pingree,D,2009-01-06,ME
P000607,D,2,-0.545,2021-01-03,Mark,True,Pocan,P000607,,Mark Pocan,D,2013-01-03,WI
P000618,D,45,,2021-01-03,Katie,True,Porter,P000618,,Katie Porter,D,2019-01-03,CA
P000599,R,8,0.514,2021-01-03,Bill,True,Posey,P000599,,Bill Posey,R,2009-01-06,FL
P000617,D,7,,2021-01-03,Ayanna,True,Pressley,P000617,,Ayanna Pressley,D,2019-01-03,MA
P000523,D,4,-0.343,2021-01-03,David,True,Price,P000523,E.,David E. Price,D,1987-01-06,NC
Q000023,D,5,-0.32,2021-01-03,Mike,True,Quigley,Q000023,,Mike Quigley,D,2009-04-21,IL
R000606,D,8,-0.552,2021-01-03,Jamie,True,Raskin,R000606,,Jamie Raskin,D,2017-01-03,MD
R000601,R,4,0.735,2021-01-03,John,True,Ratcliffe,R000601,,John Ratcliffe,R,2015-01-06,TX
R000585,R,23,0.29,2021-01-03,Tom,True,Reed,R000585,,Tom Reed,R,2010-11-18,NY
R000610,R,14,,2021-01-03,Guy,True,Reschenthaler,R000610,,Guy Reschenthaler,R,2019-01-03,PA
R000602,D,4,-0.286,2021-01-03,Kathleen,True,Rice,R000602,,Kathleen Rice,D,2015-01-06,NY
R000597,R,7,0.578,2021-01-03,Tom,True,Rice,R000597,,Tom Rice,R,2013-01-03,SC
R000588,D,2,-0.479,2021-01-03,Cedric,True,Richmond,R000588,,Cedric Richmond,D,2011-01-04,LA
R000611,R,5,,2021-01-03,Denver,True,Riggleman,R000611,,Denver Riggleman,R,2019-01-03,VA
R000591,R,2,0.372,2021-01-03,Martha,True,Roby,R000591,,Martha Roby,R,2011-01-04,AL
R000582,R,1,0.493,2021-01-03,Phil,True,Roe,R000582,,Phil Roe,R,2009-01-06,TN
R000575,R,3,0.34,2021-01-03,Mike,True,Rogers,R000575,D.,Mike D. Rogers,R,2003-01-07,AL
R000395,R,5,0.334,2021-01-03,Harold,True,Rogers,R000395,,Harold Rogers,R,1983-01-03,KY
R000607,R,19,0.549,2021-01-03,Francis,True,Rooney,R000607,,Francis Rooney,R,2017-01-03,FL
R000613,D,11,,2021-01-03,Max,True,Rose,R000613,,Max Rose,D,2019-01-03,NY
R000612,R,6,,2021-01-03,John,True,Rose,R000612,,John Rose,R,2019-01-03,TN
R000616,D,48,,2021-01-03,Harley,True,Rouda,R000616,,Harley Rouda,D,2019-01-03,CA
R000603,R,7,0.596,2021-01-03,David,True,Rouzer,R000603,,David Rouzer,R,2015-01-06,NC
R000614,R,21,,2021-01-03,Chip,True,Roy,R000614,,Chip Roy,R,2019-01-03,TX
R000486,D,40,-0.471,2021-01-03,Lucille,True,Roybal-Allard,R000486,,Lucille Roybal-Allard,D,1993-01-05,CA
R000599,D,36,-0.239,2021-01-03,Raul,True,Ruiz,R000599,,Raul Ruiz,D,2013-01-03,CA
R000576,D,2,-0.295,2021-01-03,C.A. Dutch,True,Ruppersberger,R000576,,C.A. Dutch Ruppersberger,D,2003-01-07,MD
R000515,D,1,-0.479,2021-01-03,Bobby,True,Rush,R000515,L.,Bobby L. Rush,D,1993-01-05,IL
R000609,R,4,0.391,2021-01-03,John,True,Rutherford,R000609,,John Rutherford,R,2017-01-03,FL
R000577,D,13,-0.403,2021-01-03,Tim,True,Ryan,R000577,,Tim Ryan,D,2003-01-07,OH
S001156,D,38,-0.508,2021-01-03,Linda,True,Sánchez,S001156,T.,Linda T. Sánchez,D,2003-01-07,CA
S001168,D,3,-0.469,2021-01-03,John,True,Sarbanes,S001168,,John Sarbanes,D,2007-01-04,MD
S001176,R,1,0.561,2021-01-03,Steve,True,Scalise,S001176,,Steve Scalise,R,2008-05-07,LA
S001205,D,5,,2021-01-03,Mary,True,Scanlon,S001205,Gay,Mary Gay Scanlon,D,2018-11-13,PA
S001145,D,9,-0.607,2021-01-03,Jan,True,Schakowsky,S001145,,Jan Schakowsky,D,1999-01-06,IL
S001150,D,28,-0.348,2021-01-03,Adam,True,Schiff,S001150,B.,Adam B. Schiff,D,2001-01-03,CA
S001190,D,10,-0.165,2021-01-03,Brad,True,Schneider,S001190,,Brad Schneider,D,2013-01-03,IL
S001180,D,5,-0.192,2021-01-03,Kurt,True,Schrader,S001180,,Kurt Schrader,D,2009-01-06,OR
S001216,D,8,,2021-01-03,Kim,True,Schrier,S001216,,Kim Schrier,D,2019-01-03,WA
S001183,R,6,0.621,2021-01-03,David,True,Schweikert,S001183,,David Schweikert,R,2011-01-04,AZ
S000185,D,3,-0.451,2021-01-03,Robert,True,Scott,S000185,C.,Robert C. Scott,D,1993-01-05,VA
S001189,R,8,0.563,2021-01-03,Austin,True,Scott,S001189,,Austin Scott,R,2011-01-04,GA
S001157,D,13,-0.301,2021-01-03,David,True,Scott,S001157,,David Scott,D,2003-01-03,GA
S000244,R,5,0.643,2021-01-03,F.,True,Sensenbrenner,S000244,James,F. James Sensenbrenner,R,1983-01-03,WI
S000248,D,15,-0.491,2021-01-03,José,True,Serrano,S000248,E.,José E. Serrano,D,1989-01-03,NY
S001185,D,7,-0.391,2021-01-03,Terri,True,Sewell,S001185,,Terri Sewell,D,2011-01-04,AL
S001206,D,27,,2021-01-03,Donna,True,Shalala,S001206,,Donna Shalala,D,2019-01-03,FL
S000344,D,30,-0.342,2021-01-03,Brad,True,Sherman,S000344,,Brad Sherman,D,1997-01-07,CA
S001207,D,11,,2021-01-03,Mikie,True,Sherrill,S001207,,Mikie Sherrill,D,2019-01-03,NJ
S000364,R,15,0.371,2021-01-03,John,True,Shimkus,S000364,,John Shimkus,R,1997-01-07,IL
S001148,R,2,0.294,2021-01-03,Mike,True,Simpson,S001148,,Mike Simpson,R,1999-01-06,ID
S001165,D,8,-0.405,2021-01-03,Albio,True,Sires,S001165,,Albio Sires,D,2006-11-13,NJ
S001208,D,8,,2021-01-03,Elissa,True,Slotkin,S001208,,Elissa Slotkin,D,2019-01-03,MI
S001195,R,8,0.607,2021-01-03,Jason,True,Smith,S001195,,Jason Smith,R,2013-06-05,MO
S001172,R,3,0.509,2021-01-03,Adrian,True,Smith,S001172,,Adrian Smith,R,2007-01-04,NE
S000522,R,4,0.163,2021-01-03,Christopher,True,Smith,S000522,H.,Christopher H. Smith,R,1983-01-03,NJ
S000510,D,9,-0.284,2021-01-03,Adam,True,Smith,S000510,,Adam Smith,D,1997-01-07,WA
S001199,R,11,0.401,2021-01-03,Lloyd,True,Smucker,S001199,,Lloyd Smucker,R,2017-01-03,PA
S001200,D,9,-0.382,2021-01-03,Darren,True,Soto,S001200,,Darren Soto,D,2017-01-03,FL
S001209,D,7,,2021-01-03,Abigail,True,Spanberger,S001209,,Abigail Spanberger,D,2019-01-03,VA
S001210,R,15,,2021-01-03,Ross,True,Spano,S001210,,Ross Spano,R,2019-01-03,FL
S001175,D,14,-0.384,2021-01-03,Jackie,True,Speier,S001175,,Jackie Speier,D,2008-04-08,CA
S001211,D,9,,2021-01-03,Greg,True,Stanton,S001211,,Greg Stanton,D,2019-01-03,AZ
S001212,R,8,,2021-01-03,Pete,True,Stauber,S001212,,Pete Stauber,R,2019-01-03,MN
S001196,R,21,0.217,2021-01-03,Elise,True,Stefanik,S001196,,Elise Stefanik,R,2015-01-06,NY
S001213,R,1,,2021-01-03,Bryan,True,Steil,S001213,,Bryan Steil,R,2019-01-03,WI
S001214,R,17,,2021-01-03,Greg,True,Steube,S001214,,Greg Steube,R,2019-01-03,FL
S001215,D,11,,2021-01-03,Haley,True,Stevens,S001215,,Haley Stevens,D,2019-01-03,MI
S001192,R,2,0.522,2021-01-03,Chris,True,Stewart,S001192,,Chris Stewart,R,2013-01-03,UT
S001187,R,15,0.301,2021-01-03,Steve,True,Stivers,S001187,,Steve Stivers,R,2011-01-04,OH
S001201,D,3,-0.203,2021-01-03,Thomas,True,Suozzi,S001201,,Thomas Suozzi,D,2017-01-03,NY
S001193,D,15,-0.365,2021-01-03,Eric,True,Swalwell,S001193,,Eric Swalwell,D,2013-01-03,CA
T000472,D,41,-0.466,2021-01-03,Mark,True,Takano,T000472,,Mark Takano,D,2013-01-03,CA
T000479,R,3,,2021-01-03,Van,True,Taylor,T000479,,Van Taylor,R,2019-01-03,TX
T000460,D,5,-0.395,2021-01-03,Mike,True,Thompson,T000460,,Mike Thompson,D,1999-01-06,CA
T000193,D,2,-0.516,2021-01-03,Bennie,True,Thompson,T000193,,Bennie Thompson,D,1993-01-05,MS
T000467,R,15,0.31,2021-01-03,Glenn,True,Thompson,T000467,,Glenn Thompson,R,2009-01-06,PA
T000238,R,13,0.526,2021-01-03,William,True,Thornberry,T000238,M.,William M. Thornberry,R,1995-01-04,TX
T000480,R,4,,2021-01-03,William,True,Timmons,T000480,,William Timmons,R,2019-01-03,SC
T000470,R,3,0.453,2021-01-03,Scott,True,Tipton,T000470,,Scott Tipton,R,2011-01-04,CO
T000468,D,1,-0.301,2021-01-03,Dina,True,Titus,T000468,,Dina Titus,D,2009-01-06,NV
T000481,D,13,,2021-01-03,Rashida,True,Tlaib,T000481,,Rashida Tlaib,D,2019-01-03,MI
T000469,D,20,-0.422,2021-01-03,Paul,True,Tonko,T000469,,Paul Tonko,D,2009-01-06,NY
T000474,D,35,-0.359,2021-01-03,Norma,True,Torres,T000474,,Norma Torres,D,2015-01-06,CA
T000484,D,2,,2021-01-03,Xochitl,True,Torres Small,T000484,,Xochitl Torres Small,D,2019-01-03,NM
T000482,D,3,,2021-01-03,Lori,True,Trahan,T000482,,Lori Trahan,D,2019-01-03,MA
T000483,D,6,,2021-01-03,David,True,Trone,T000483,,David Trone,D,2019-01-03,MD
T000463,R,10,0.267,2021-01-03,Michael,True,Turner,T000463,R.,Michael R. Turner,R,2003-01-07,OH
U000040,D,14,,2021-01-03,Lauren,True,Underwood,U000040,,Lauren Underwood,D,2019-01-03,IL
U000031,R,6,0.338,2021-01-03,Fred,True,Upton,U000031,,Fred Upton,R,1987-01-06,MI
V000133,D,2,,2021-01-03,Jefferson,True,Van Drew,V000133,,Jefferson Van Drew,D,2019-01-03,NJ
V000130,D,51,-0.397,2021-01-03,Juan,True,Vargas,V000130,,Juan Vargas,D,2013-01-03,CA
V000131,D,33,-0.404,2021-01-03,Marc,True,Veasey,V000131,,Marc Veasey,D,2013-01-03,TX
V000132,D,34,-0.31,2021-01-03,Filemon,True,Vela,V000132,,Filemon Vela,D,2013-01-03,TX
V000081,D,7,-0.547,2021-01-03,Nydia,True,Velázquez,V000081,M.,Nydia M. Velázquez,D,1993-01-05,NY
V000108,D,1,-0.402,2021-01-03,Peter,True,Visclosky,V000108,J.,Peter J. Visclosky,D,1985-01-03,IN
W000812,R,2,0.464,2021-01-03,Ann,True,Wagner,W000812,,Ann Wagner,R,2013-01-03,MO
W000798,R,7,0.525,2021-01-03,Tim,True,Walberg,W000798,,Tim Walberg,R,2007-01-04,MI
W000791,R,2,0.336,2021-01-03,Greg,True,Walden,W000791,,Greg Walden,R,1999-01-06,OR
W000819,R,6,0.621,2021-01-03,Mark,True,Walker,W000819,,Mark Walker,R,2015-01-06,NC
W000813,R,2,0.442,2021-01-03,Jackie,True,Walorski,W000813,,Jackie Walorski,R,2013-01-03,IN
W000823,R,6,,2021-01-03,Michael,True,Waltz,W000823,,Michael Waltz,R,2019-01-03,FL
W000797,D,23,-0.422,2021-01-03,Debbie,True,Wasserman Schultz,W000797,,Debbie Wasserman Schultz,D,2005-01-04,FL
W000187,D,43,-0.654,2021-01-03,Maxine,True,Waters,W000187,,Maxine Waters,D,1991-01-03,CA
W000824,R,2,,2021-01-03,Steven,True,Watkins,W000824,,Steven Watkins,R,2019-01-03,KS
W000822,D,12,-0.632,2021-01-03,Bonnie,True,Watson Coleman,W000822,,Bonnie Watson Coleman,D,2015-01-06,NJ
W000814,R,14,0.711,2021-01-03,Randy,True,Weber,W000814,,Randy Weber,R,2013-01-03,TX
W000806,R,11,0.488,2021-01-03,Daniel,True,Webster,W000806,,Daniel Webster,R,2011-01-04,FL
W000800,D,1,-0.408,2021-01-03,Peter,True,Welch,W000800,,Peter Welch,D,2007-01-04,VT
W000815,R,2,0.576,2021-01-03,Brad,True,Wenstrup,W000815,,Brad Wenstrup,R,2013-01-03,OH
W000821,R,4,0.551,2021-01-03,Bruce,True,Westerman,W000821,,Bruce Westerman,R,2015-01-06,AR
W000825,D,10,,2021-01-03,Jennifer,True,Wexton,W000825,,Jennifer Wexton,D,2019-01-03,VA
W000826,D,7,,2021-01-03,Susan,True,Wild,W000826,,Susan Wild,D,2018-11-27,PA
W000816,R,25,0.605,2021-01-03,Roger,True,Williams,W000816,,Roger Williams,R,2013-01-03,TX
W000808,D,24,-0.474,2021-01-03,Frederica,True,Wilson,W000808,,Frederica Wilson,D,2011-01-04,FL
W000795,R,2,0.544,2021-01-03,Joe,True,Wilson,W000795,,Joe Wilson,R,2001-01-03,SC
W000804,R,1,0.425,2021-01-03,Robert,True,Wittman,W000804,J.,Robert J. Wittman,R,2007-12-11,VA
W000809,R,3,0.35,2021-01-03,Steve,True,Womack,W000809,,Steve Womack,R,2011-01-04,AR
W000810,R,7,0.632,2021-01-03,Rob,True,Woodall,W000810,,Rob Woodall,R,2011-01-04,GA
W000827,R,6,,2021-01-03,Ron,True,Wright,W000827,,Ron Wright,R,2019-01-03,TX
Y000062,D,3,-0.378,2021-01-03,John,True,Yarmuth,Y000062,,John Yarmuth,D,2007-01-04,KY
Y000065,R,3,0.704,2021-01-03,Ted,True,Yoho,Y000065,,Ted Yoho,R,2013-01-03,FL
Y000033,R,1,0.281,2021-01-03,Don,True,Young,Y000033,,Don Young,R,1983-01-03,AK
Z000017,R,1,0.372,2021-01-03,Lee,True,Zeldin,Z000017,,Lee Zeldin,R,2015-01-06,NY
G000582,R,80,,2021-01-03,Jenniffer,True,González-Colón,G000582,,Jenniffer González-Colón,R,2017-01-03,PR
N000147,D,79,,2021-01-03,Eleanor,True,Norton,N000147,Holmes,Eleanor Holmes Norton,D,1991-01-03,DC
P000610,D,79,,2021-01-03,Stacey,True,Plaskett,P000610,,Stacey Plaskett,D,2015-01-06,VI
R000600,R,79,,2021-01-03,Amata,True,Radewagen,R000600,Coleman,Amata Coleman Radewagen,R,2015-01-06,AS
S001177,I,79,,2021-01-03,Gregorio,True,Sablan,S001177,Kilili Camacho,Gregorio Kilili Camacho Sablan,D,2009-01-06,MP
S001204,D,79,,2021-01-03,Michael,True,San Nicolas,S001204,,Michael San Nicolas,D,2019-01-03,GU
K000395,R,12,,2021-01-03,Fred,True,Keller,K000395,,Fred Keller,R,2019-06-03,PA
B001269,R,11,0.278,2019-01-03,Lou,False,Barletta,B001269,,Lou Barletta,R,2011-01-04,PA
B000213,R,6,0.528,2019-01-03,Joe,False,Barton,B000213,L.,Joe L. Barton,R,1985-01-03,TX
B001293,R,8,0.451,2019-01-03,Mike,False,Bishop,B001293,,Mike Bishop,R,2015-01-06,MI
B001273,R,6,0.58,2019-01-03,Diane,False,Black,B001273,,Diane Black,R,2011-01-04,TN
B001243,R,7,0.615,2019-01-03,Marsha,True,Blackburn,B001243,,Marsha Blackburn,R,2003-01-07,TN
B001294,R,1,0.527,2019-01-03,Rod,False,Blum,B001294,,Rod Blum,R,2015-01-06,IA
