year,state_po,FIPS,candidatevotes_rep,totalvotes,candidatevotes_dem,lean
2000,AK,108820.0,167398.0,285530,79004.0,0.30957867824746954
2000,AL,71489.0,944409.0,1672551,695602.0,0.14875899150459393
2000,AR,380625.0,472940.0,921781,422768.0,0.05442941436197973
2000,AZ,60208.0,781652.0,1534113,685341.0,0.06277959967746838
2000,CA,351364.0,4567429.0,10965856,5861203.0,-0.11798203441664751
2000,CO,507969.0,883745.0,1741365,738227.0,0.08356547880541992
2000,CT,72064.0,561094.0,1459525,816015.0,-0.17466024905363048
2000,DC,11001.0,18073.0,201894,171923.0,-0.7620335423539085
2000,DE,30009.0,137288.0,327529,180068.0,-0.13061438834423827
2000,FL,808550.0,2911215.0,5960660,2911417.0,-3.3888864655939877e-05
2000,GA,2092677.0,1419720.0,2596804,1116230.0,0.11687058399478739
2000,HI,60020.0,137819.0,367871,205242.0,-0.18327892114355304
2000,IA,1890801.0,634373.0,1315563,638517.0,-0.0031499821749319534
2000,ID,705936.0,336937.0,501621,138637.0,0.3953183778191105
2000,IL,1744404.0,2019421.0,4742123,2589026.0,-0.12011603241839153
2000,IN,1664464.0,1245836.0,2199305,901980.0,0.15634757343797245
2000,KS,2111025.0,622332.0,1072216,399276.0,0.20803270982712435
2000,KY,2534400.0,872492.0,1544187,638898.0,0.15127312948496519
2000,LA,1412096.0,927871.0,1765656,792344.0,0.07675730719913737
2000,MA,350196.0,878502.0,2702984,1616487.0,-0.27302603345043847
2000,MD,577079.0,813797.0,2025480,1145782.0,-0.1639043584730533
2000,ME,368256.0,286616.0,651817,319951.0,-0.051141654789611246
2000,MI,2164889.0,1953139.0,4232711,2170418.0,-0.05133329442997642
2000,MN,2356569.0,1109659.0,2438685,1168266.0,-0.024032214082589598
2000,MO,3384537.0,1189924.0,2359892,1111138.0,0.033385426112720384
2000,MS,2302724.0,573230.0,994926,404964.0,0.169124135865381
2000,MT,1683136.0,240178.0,410986,137126.0,0.25074333432282364
2000,NC,3710000.0,1631163.0,2911262,1257692.0,0.12828491561391592
2000,ND,2016809.0,174852.0,288267,95284.0,0.2760218824908852
2000,NE,2891649.0,433862.0,697019,231780.0,0.2899232302132366
2000,NH,330100.0,273559.0,569081,266348.0,0.012671306896557766
2000,NJ,714441.0,1284173.0,3187226,1788850.0,-0.15834365056007954
2000,NM,1155995.0,286417.0,598605,286783.0,-0.000611421555115621
2000,NV,544774.0,301575.0,608970,279978.0,0.035464801221735065
2000,NY,2235844.0,2403374.0,6821999,4107697.0,-0.2498275065710212
2000,OH,3439744.0,2351209.0,4705457,2186190.0,0.035069707363174274
2000,OK,3085929.0,744337.0,1234229,474276.0,0.21880947538908901
2000,OR,1477296.0,713577.0,1533968,720342.0,-0.004410131110948845
2000,PA,2818489.0,2281127.0,4912185,2485967.0,-0.041700383841406674
2000,RI,220025.0,130555.0,409112,249508.0,-0.2907590097577191
2000,SC,2072116.0,786426.0,1383777,566039.0,0.15926482373966327
2000,SD,3040496.0,190700.0,316269,118804.0,0.2273254729360133
2000,TN,4474025.0,1061949.0,2076181,981720.0,0.03864258463014547
2000,TX,12256516.0,3799639.0,6407637,2433746.0,0.21316641376532408
2000,UT,1421841.0,515096.0,770754,203053.0,0.4048542076979166
2000,VA,6869626.0,1436877.0,2737915,1216422.0,0.08051930027046134
2000,VT,700196.0,119775.0,294308,149022.0,-0.09937548418663444
2000,WA,2068521.0,1108864.0,2488441,1247652.0,-0.05577307237744433
2000,WI,3965119.0,1237279.0,2598607,1242987.0,-0.0021965614654312904
2000,WV,2973025.0,336475.0,648124,295497.0,0.0632255556035573
2000,WY,1288529.0,147947.0,218351,60481.0,0.4005752206310023
2004,AK,108820.0,292267.0,488693,180365.0,0.2289822035511047
2004,AL,71489.0,1176394.0,1883415,693933.0,0.256162874353236
2004,AR,380625.0,572770.0,1053694,468631.0,0.09883229856106235
2004,AZ,60208.0,1104294.0,2012585,893524.0,0.10472601157218203
2004,CA,351364.0,5501496.0,12383678,6737355.0,-0.09979741075308968
2004,CO,515983.0,1101255.0,2129630,1001732.0,0.046732531003038036
2004,CT,72064.0,693826.0,1578769,857488.0,-0.10366431061162212
2004,DC,11001.0,21256.0,227586,202970.0,-0.7984410288857838
2004,DE,30009.0,171651.0,375170,200141.0,-0.07593890769517825
2004,FL,808550.0,3964522.0,7609810,3583544.0,0.05006406204622721
2004,GA,2092677.0,1914254.0,3298790,1366149.0,0.1661533471363743
2004,HI,60020.0,194116.0,428555,231335.0,-0.08684766249372894
2004,IA,1890801.0,751957.0,1506908,741898.0,0.0066752582108529634
2004,ID,705936.0,409235.0,598376,181098.0,0.38126027781862903
2004,IL,1744404.0,2346608.0,5275415,2891989.0,-0.10338162969169257
2004,IN,1664464.0,1479438.0,2468002,969011.0,0.20681790371320602
2004,KS,2111025.0,736456.0,1187756,434993.0,0.25380886309982864
2004,KY,2534400.0,1069439.0,1795860,712733.0,0.19862684173599282
2004,LA,1412096.0,1102169.0,1943106,820299.0,0.1450615663787771
2004,MA,350196.0,1071109.0,2912388,1803800.0,-0.2515773997145984
2004,MD,577079.0,1024703.0,2386678,1334493.0,-0.12979966296249423
2004,ME,368256.0,308997.0,686510,364153.0,-0.08034260243842045
2004,MI,2164889.0,2313746.0,4839252,2479183.0,-0.034186481712463024
2004,MN,2356569.0,1346451.0,2827850,1444751.0,-0.034761391162897615
2004,MO,3384537.0,1455713.0,2731364,1259171.0,0.0719574542243363
2004,MS,2302724.0,666295.0,1114859,440034.0,0.20295032824778741
2004,MT,1683136.0,266063.0,450434,173710.0,0.20503114773751535
2004,NC,3710000.0,1961166.0,3501007,1525849.0,0.12434051117292821
2004,ND,2016809.0,196651.0,312833,111052.0,0.27362522496028235
2004,NE,2891649.0,512814.0,778186,254328.0,0.3321648037872693
2004,NH,330100.0,331237.0,677662,340511.0,-0.013685288536172902
2004,NJ,714441.0,1668003.0,3609691,1911430.0,-0.06743707425372425
2004,NM,1155995.0,376930.0,756304,370942.0,0.007917451183651003
2004,NV,544774.0,418690.0,829587,397190.0,0.025916510263540804
2004,NY,2235844.0,2806993.0,7391036,4180755.0,-0.18586866577297145
2004,OH,3439744.0,2858727.0,5625631,2739952.0,0.021113187125141986
2004,OK,3085929.0,959792.0,1463758,503966.0,0.31140803329512123
2004,OR,1477296.0,866831.0,1836782,943163.0,-0.0415574629977864
2004,PA,2818489.0,2793847.0,5765764,2938095.0,-0.025018020161768684
2004,RI,220025.0,169046.0,436289,259760.0,-0.20792181329348203
2004,SC,2072116.0,937974.0,1617730,661699.0,0.17077942549127478
2004,SD,3040496.0,232584.0,388215,149244.0,0.21467485800394115
2004,TN,4474025.0,1381225.0,2430494,1032910.0,0.14331037229468574
2004,TX,12256516.0,4526917.0,7410749,2832704.0,0.22861562306320188
2004,UT,1421841.0,663742.0,927844,241199.0,0.45540306344601034
2004,VA,6869626.0,1716959.0,3198367,1454742.0,0.08198465029185209
2004,VT,700196.0,121180.0,312309,184067.0,-0.20136147213176697
2004,WA,2068521.0,1304894.0,2859084,1510201.0,-0.07180866319422585
2004,WI,3965119.0,1478120.0,2997007,1489504.0,-0.0037984562598619154
2004,WV,2973025.0,423550.0,755659,326541.0,0.1283766884269228
2004,WY,1288529.0,167629.0,243428,70776.0,0.39787123913436423
2008,AK,108820.0,193841.0,326197,123594.0,0.21535145939416983
2008,AL,71489.0,1266546.0,2099819,813479.0,0.2157647873459569
2008,AR,380625.0,638017.0,1086617,422310.0,0.19851244734805362
2008,AZ,60208.0,1230111.0,2293475,1034707.0,0.08519996947862962
2008,CA,351364.0,5011781.0,13561900,8274473.0,-0.24057779514669775
2008,CO,515983.0,1073589.0,2401361,1288576.0,-0.08952714731354428
2008,CT,72064.0,628041.0,1647085,1000291.0,-0.2260053367008989
2008,DC,11001.0,17367.0,265853,245800.0,-0.8592455229017539
2008,DE,30009.0,152374.0,412412,255459.0,-0.2499563543252864
2008,FL,808550.0,4046212.0,8391639,4282366.0,-0.028141582353578387
2008,GA,2092677.0,2048744.0,3925278,1844137.0,0.05212548002969475
2008,HI,60020.0,120429.0,452742,325201.0,-0.45229291737899285
2008,IA,1890801.0,682379.0,1536820,828940.0,-0.09536640595515422
2008,ID,705936.0,403012.0,655032,236440.0,0.254295973326494
2008,IL,1744404.0,2031527.0,5523051,3419673.0,-0.25133680641370143
2008,IN,1664464.0,1345648.0,2751054,1374039.0,-0.010320044608357393
2008,KS,2111025.0,699655.0,1235872,514765.0,0.14960287149478269
2008,KY,2534400.0,1048462.0,1826508,751985.0,0.16231902625118533
2008,LA,1412096.0,1148015.0,1959085,781574.0,0.18704701429493864
2008,MA,350196.0,1108885.0,3081336,1904103.0,-0.2580757178055233
2008,MD,577079.0,959862.0,2631596,1629467.0,-0.2544482511753323
2008,ME,368256.0,295273.0,731163,421923.0,-0.17321718960067733
2008,MI,2164889.0,2048639.0,5001766,2872579.0,-0.1647298174284843
2008,MN,2356569.0,1275409.0,2910369,1573354.0,-0.1023736165414077
2008,MO,3384537.0,1445814.0,2925205,1441911.0,0.001334265461736872
2008,MS,2302724.0,724497.0,1285259,554662.0,0.13214068137239265
2008,MT,1683136.0,243860.0,496072,232156.0,0.023593349352513338
2008,NC,3710000.0,2128474.0,4310789,2142651.0,-0.0032887251034555143
2008,ND,2016809.0,168601.0,316621,141278.0,0.0862956026290107
2008,NE,2891649.0,452979.0,801281,333319.0,0.1493358759286692
2008,NH,330100.0,316534.0,710970,384826.0,-0.09605468585172378
2008,NJ,714441.0,1613207.0,3838498,2215422.0,-0.1568881890781238
2008,NM,1155995.0,346832.0,830158,472422.0,-0.15128445428460613
2008,NV,544774.0,412827.0,967848,533736.0,-0.12492560815334647
2008,NY,2235844.0,2742298.0,7591233,4769700.0,-0.26707150208668345
2008,OH,3439744.0,2674491.0,5698048,2933388.0,-0.04543608618249623
2008,OK,3085929.0,960165.0,1462661,502496.0,0.31290162245387004
2008,OR,1477296.0,738475.0,1827864,1037291.0,-0.16347824564628444
2008,PA,2818489.0,2649934.0,5977981,3266523.0,-0.10314335224551574
2008,RI,220025.0,165391.0,471766,296571.0,-0.27806158137720816
2008,SC,2072116.0,1034896.0,1920969,862449.0,0.08977083961271626
2008,SD,3040496.0,203054.0,377708,170924.0,0.08506571213741831
2008,TN,4474025.0,1479178.0,2600124,1087437.0,0.15066242994564877
2008,TX,12256516.0,4479328.0,8077795,3528633.0,0.11769239006436782
2008,UT,1421841.0,596030.0,952370,327670.0,0.28178124048426556
2008,VA,6869626.0,1725005.0,3723260,1959532.0,-0.06298969182920344
2008,VT,700196.0,98974.0,325046,219262.0,-0.37006454471059486
2008,WA,2068521.0,1229216.0,3036878,1750848.0,-0.1717658727153346
2008,WI,3965119.0,1262393.0,2983417,1677211.0,-0.13904124029594256
2008,WV,2973025.0,397466.0,713451,303857.0,0.1312059272465803
2008,WY,1288529.0,164958.0,256035,82868.0,0.3206202277032437
2012,AK,108820.0,164676.0,300495,122640.0,0.13988918284830032
2012,AL,71489.0,1255925.0,2070353,795696.0,0.22229494197366345
2012,AR,380625.0,647744.0,1069468,394409.0,0.23687945782389008
2012,AZ,60208.0,1233654.0,2299254,1025232.0,0.09064766224175319
2012,CA,351364.0,4839958.0,13038547,7854285.0,-0.2311858062098484
2012,CO,515983.0,1185050.0,2569217,1322998.0,-0.05369262308321954
2012,CT,72064.0,624210.0,1533545,891674.0,-0.17440896745775314
2012,DC,11001.0,21381.0,293764,267070.0,-0.8363482251058673
2012,DE,30009.0,165484.0,413937,242584.0,-0.18626022800571107
2012,FL,808550.0,4163447.0,8474179,4237756.0,-0.00876887306723162
2012,GA,2092677.0,2078688.0,3900050,1773827.0,0.0781684850194228
2012,HI,60020.0,120937.0,434221,306266.0,-0.42680800790380935
2012,IA,1890801.0,730617.0,1582180,822544.0,-0.05810148023612988
2012,ID,705936.0,420911.0,652274,212787.0,0.3190744993668305
2012,IL,1744404.0,2135102.0,5241891,3019512.0,-0.1687196471654981
2012,IN,1664464.0,1420543.0,2624534,1152887.0,0.10198229476166054
2012,KS,2111025.0,689809.0,1156254,439908.0,0.2161298469021512
2012,KY,2534400.0,1087190.0,1797212,679370.0,0.22691813764875823
2012,LA,1412096.0,1152262.0,1994065,809141.0,0.172071121051721
2012,MA,350196.0,1188314.0,3167767,1921290.0,-0.2313857048198305
2012,MD,577079.0,971869.0,2707327,1677844.0,-0.26076458440373107
2012,ME,368256.0,291418.0,710126,399235.0,-0.1518279854561022
2012,MI,2164889.0,2115256.0,4730961,2564569.0,-0.09497288183098529
2012,MN,2356569.0,1320225.0,2936561,1546167.0,-0.07694102046577611
2012,MO,3384537.0,1482440.0,2757312,1223796.0,0.09380295011953671
2012,MS,2302724.0,710746.0,1285584,562949.0,0.11496487199591776
2012,MT,1683136.0,267928.0,483932,201839.0,0.13656670771926627
2012,NC,3710000.0,2270395.0,4505372,2178391.0,0.020420955250753936
2012,ND,2016809.0,188320.0,322932,124966.0,0.196183716695775
2012,NE,2891649.0,475064.0,794379,302081.0,0.2177587776111906
2012,NH,330100.0,329918.0,710931,369561.0,-0.05576209224242579
2012,NJ,714441.0,1477568.0,3640292,2125101.0,-0.17787941187135536
2012,NM,1155995.0,335788.0,783758,415335.0,-0.10149433881376646
2012,NV,544774.0,463567.0,1014918,531373.0,-0.06680933829136931
2012,NY,2235844.0,2223397.0,7061925,4324228.0,-0.2974870166420629
2012,OH,3439744.0,2661407.0,5580822,2827621.0,-0.029783067798972995
2012,OK,3085929.0,891325.0,1334872,443547.0,0.33544639486033123
2012,OR,1477296.0,754175.0,1789270,970488.0,-0.12089455476255678
2012,PA,2818489.0,2680434.0,5742040,2990274.0,-0.053959916684662546
2012,RI,220025.0,157151.0,445719,279409.0,-0.2742938936863809
2012,SC,2072116.0,1071645.0,1964118,865941.0,0.10473097848499935
2012,SD,3040496.0,210610.0,363815,145039.0,0.1802317111718868
2012,TN,4474025.0,1462330.0,2458577,960709.0,0.20402899726142393
2012,TX,12256516.0,4569843.0,7993851,3308124.0,0.15783619184295533
2012,UT,1421841.0,740600.0,1017440,251813.0,0.4804086727472873
2012,VA,6869626.0,1822522.0,3854489,1971820.0,-0.038733538998295236
2012,VT,700196.0,92698.0,299290,199239.0,-0.35597915065655383
2012,WA,2068521.0,1290670.0,3125516,1755396.0,-0.14868776867563632
2012,WI,3965119.0,1410966.0,3071434,1620985.0,-0.06837815821534832
2012,WV,2973025.0,417655.0,670440,238269.0,0.2675645844520017
2012,WY,1288529.0,170962.0,249061,69286.0,0.4082373394469628
2016,AK,108820.0,163347.0,318056,116180.0,0.148297784038031
2016,AL,71489.0,1318250.0,2123367,729547.0,0.2772497641717141
2016,AR,380625.0,684872.0,1129896,380494.0,0.2693858549813434
2016,AZ,60208.0,1252401.0,2628756,1161167.0,0.03470614998120786
2016,CA,351364.0,4483810.0,14181595,8753788.0,-0.3010929306611845
2016,CO,515983.0,1202484.0,2780220,1338870.0,-0.049055830114163645
2016,CT,72064.0,673215.0,1644920,897572.0,-0.1363938671789509
2016,DC,11001.0,12723.0,311268,282830.0,-0.8677634707069148
2016,DE,30009.0,185127.0,442997,235603.0,-0.11394208087187946
2016,FL,808550.0,4617886.0,9420039,4504975.0,0.011986256107856863
2016,GA,2092677.0,2089104.0,4114711,1877963.0,0.05131368885931481
2016,HI,60020.0,128847.0,428937,266891.0,-0.32182814725705644
2016,IA,1890801.0,800983.0,1566031,653669.0,0.09406838051098604
2016,ID,705936.0,409055.0,690433,189765.0,0.31761228098888666
2016,IL,1744404.0,2146015.0,5558707,3090729.0,-0.16995211296439977
2016,IN,1664464.0,1557286.0,2734958,1033126.0,0.19165193761659233
2016,KS,2111025.0,671018.0,1184403,427005.0,0.20602193679009595
2016,KY,2534400.0,1202971.0,1924149,628854.0,0.2983745021825233
2016,LA,1412096.0,1178638.0,2029032,780154.0,0.1963911855505483
2016,MA,350196.0,1090893.0,3274555,1995196.0,-0.2761605775441244
2016,MD,577079.0,943169.0,2781446,1677928.0,-0.264164395066451
2016,ME,368256.0,334945.0,743941,354718.0,-0.026578720624350627
2016,MI,2164889.0,2279543.0,4799284,2268839.0,0.00223033269129308
2016,MN,2356569.0,1322951.0,2944813,1367716.0,-0.01520130480271581
2016,MO,3384537.0,1594511.0,2807381,1071068.0,0.1864524266567309
2016,MS,2302724.0,700714.0,1209357,485131.0,0.17826249817051543
2016,MT,1683136.0,279240.0,497147,177709.0,0.20422732109416325
2016,NC,3710000.0,2362631.0,4741564,2189316.0,0.036552285279709384
2016,ND,2016809.0,216794.0,344360,93758.0,0.35728888372633294
2016,NE,2891649.0,495961.0,844187,284494.0,0.2504978162421359
2016,NH,330100.0,345790.0,744296,348526.0,-0.003675956877371378
2016,NJ,714441.0,1601933.0,3874046,2148278.0,-0.14102697799664748
2016,NM,1155995.0,319667.0,798319,385234.0,-0.0821313284539138
2016,NV,544774.0,512058.0,1125385,539260.0,-0.02417128360516624
2016,NY,2235844.0,2814589.0,7707363,4547562.0,-0.2248464228297019
2016,OH,3439744.0,2841005.0,5496487,2394164.0,0.0812957439906617
2016,OK,3085929.0,949136.0,1452992,420375.0,0.36391184535083465
2016,OR,1477296.0,782403.0,2001336,1002106.0,-0.10977816818365327
2016,PA,2818489.0,2970733.0,6115402,2926441.0,0.007242696391831671
2016,RI,220025.0,180490.0,463416,251888.0,-0.15406891432319986
2016,SC,2072116.0,1155389.0,2103027,855373.0,0.14265912896030342
2016,SD,3040496.0,227721.0,370093,117458.0,0.2979332221900981
2016,TN,4474025.0,1522925.0,2508027,870695.0,0.2600570089556452
2016,TX,12256516.0,4685047.0,8969226,3877868.0,0.08999427598323423
2016,UT,1421841.0,515231.0,1131430,310676.0,0.18079333233165112
2016,VA,6869626.0,1769443.0,3984631,1981473.0,-0.053211953628830355
2016,VT,700196.0,95369.0,315077,178573.0,-0.26407513084103246
2016,WA,2068521.0,1221747.0,3209214,1742718.0,-0.16233601124761393
2016,WI,3965119.0,1404440.0,2975753,1381823.0,0.0076004292022892606
2016,WV,2973025.0,489371.0,713051,188794.0,0.42153646793847843
2016,WY,1288529.0,174419.0,255849,55973.0,0.46295275729043306
